s_ref_m,x_ref_m,y_ref_m,kappa_ref,ey_m,epsi_rad,u_mps,r_radps,target_mps,delta_rad,qdelta_radps,qv_mps2,left_m,right_m
8.10705596,-5.30545040,0.92993702,-0.056774578,0.33540601,0.134414511,4.48293964,-1.77632792,4.90380070,-0.119262141,1.037253436,2.99978971,1.0099198,0.9266154
8.24683279,-5.33725023,1.06604824,-0.056760686,0.35138141,0.088770346,4.57716865,-1.60550248,4.99879283,-0.058636857,2.813987011,2.99977291,0.9868386,0.9371602
8.38660961,-5.36796545,1.20240831,-0.057006859,0.36153352,0.053331532,4.66924073,-1.19543148,5.09158479,0.024356157,2.549098701,2.99975518,0.9676787,0.9461535
8.52638644,-5.39759173,1.33900910,-0.057308337,0.36772821,0.033437019,4.75944645,-0.63965055,5.18247724,0.072582643,0.615265147,2.99973619,0.9472336,0.9540435
8.66616327,-5.42612369,1.47584265,-0.057273278,0.37221946,0.029471810,4.84797299,-0.16138165,5.27166423,0.066626991,-1.030966215,2.99971550,0.9301561,0.9614462
8.80594009,-5.45355799,1.61290049,-0.057625288,0.37693194,0.036510146,4.93495211,0.09567981,5.35928232,0.033490832,-1.239732326,2.99969285,0.9119413,0.9669071
8.94571692,-5.47988944,1.75017447,-0.057723011,0.38298089,0.048129764,5.02049404,0.15252821,5.44544527,0.006199418,-0.655752617,2.99966782,0.8974851,0.9723929
9.08549375,-5.50511450,1.88765606,-0.057620317,0.39071603,0.060021569,5.10468673,0.11821445,5.53024361,-0.002389542,0.053630768,2.99963999,0.8820519,0.9774203
9.22527057,-5.52922947,2.02533670,-0.057376424,0.40008975,0.070927419,5.18760613,0.08765148,5.61375527,0.003255214,0.354121527,2.99960883,0.8697517,0.9806710
9.36504740,-5.55223186,2.16320758,-0.057815014,0.41100599,0.081398948,5.26933358,0.08881508,5.69606316,0.008419035,0.019907512,2.99957383,0.8565625,0.9818725
9.50482423,-5.57411755,2.30126014,-0.057958945,0.42342984,0.091733502,5.34994362,0.07688127,5.77724312,-0.002881592,-0.860967724,2.99953407,0.8465921,0.9828810
9.64460105,-5.59488374,2.43948552,-0.058132842,0.43724192,0.100479042,5.42949009,-0.03024653,5.85734986,-0.037516550,-1.738501003,2.99948853,0.8361859,0.9821760
9.78437788,-5.61452890,2.57787467,-0.058703847,0.45198771,0.104446317,5.50801255,-0.28992415,5.93642359,-0.086490167,-1.978423116,2.99943579,0.8284817,0.9806731
9.92415471,-5.63304927,2.71641884,-0.058167244,0.46671417,0.100044474,5.58549457,-0.67917797,6.01444799,-0.127617853,-1.178097072,2.99937347,0.8204242,0.9782671
10.06393153,-5.65044462,2.85510876,-0.058078545,0.48009567,0.085756995,5.66189833,-1.07101296,6.09138508,-0.132332294,0.824740188,2.99929963,0.8148483,0.9742274
10.20370836,-5.66671221,2.99393547,-0.058002967,0.49086266,0.063789555,5.73722087,-1.30964893,6.16723193,-0.101571783,1.613657651,2.99921148,0.8095414,0.9703071
10.34348519,-5.68185161,3.13288973,-0.057727001,0.49822207,0.038481022,5.81148913,-1.36948042,6.24201561,-0.076156146,0.416597793,2.99910543,0.8062407,0.9657137
10.48326202,-5.69584924,3.27196366,-0.076926461,0.50202231,0.014218482,5.88510511,-1.35527656,6.31614087,-0.072551876,-0.125947428,2.99898531,0.8034152,0.9589613
10.62303884,-5.70838968,3.41117622,-0.083715475,0.50249769,-0.007644805,5.95825057,-1.33943118,6.38979047,-0.071944513,0.176788255,2.99882863,0.8025494,0.9505641
10.76281567,-5.71928192,3.55052746,-0.084617414,0.49988155,-0.028263256,6.03064526,-1.32494218,6.46268166,-0.069608156,0.014514349,2.99862520,0.8031653,0.9414856
10.90259250,-5.72852390,3.68999787,-0.084866550,0.49431860,-0.048075554,6.10221482,-1.30965927,6.53473881,-0.068267305,0.097550803,2.99835817,0.8059448,0.9298613
11.04236932,-5.73611230,3.82956801,-0.084772918,0.48592007,-0.067167414,6.17297955,-1.29507512,6.60598122,-0.066615398,0.041172927,2.99799501,0.8101364,0.9174288
11.18214615,-5.74204508,3.96921833,-0.085172116,0.47478824,-0.085562453,6.24297491,-1.28067423,6.67644267,-0.065209025,0.078692260,2.99747726,0.8161220,0.9043785
11.32192298,-5.74631782,4.10892929,-0.084778666,0.46102233,-0.103308242,6.31222546,-1.26678520,6.74614438,-0.063810087,0.041414220,2.99668448,0.8232749,0.8893935
11.46169980,-5.74893219,4.24868111,-0.085117065,0.44471503,-0.120437009,6.38075510,-1.25325547,6.81510328,-0.062469211,0.075268580,2.99533927,0.8315055,0.8714902
11.60147663,-5.74988497,4.38845415,-0.084926273,0.42595599,-0.136961695,6.44858786,-1.24014516,6.88332562,-0.061210236,0.035030731,2.99259562,0.8434403,0.8531583
11.74125346,-5.74917799,4.52822864,-0.084597459,0.40483270,-0.152949410,6.51572769,-1.22742113,6.95074557,-0.059967825,0.075308716,2.98417918,0.8558968,0.8368338
11.88103028,-5.74681363,4.66798492,-0.084795127,0.38142344,-0.168409828,6.57923673,-1.21560785,6.92289642,-0.059077186,0.004075830,-5.51490137,0.8716965,0.8280764
12.02080711,-5.74279313,4.80770338,-0.084687660,0.35579966,-0.183443208,6.62171705,-1.20785488,6.77328335,-0.059605204,-0.051849943,-7.98228870,0.8880856,0.8259340
12.16058394,-5.73712020,4.94736450,-0.084328997,0.32800889,-0.198324924,6.62802583,-1.20672612,6.59669850,-0.060810663,-0.057189850,-7.99052041,0.9073416,0.8301732
12.30036076,-5.72979946,5.08694894,-0.083921468,0.29805455,-0.213359812,6.60073862,-1.21175569,6.41962013,-0.062431631,-0.089050111,-7.99322174,0.9271042,0.8353063
12.44013759,-5.72083659,5.22643757,-0.084006717,0.26589680,-0.228775413,6.54554540,-1.22198892,6.24125796,-0.064398068,-0.087222627,-7.99451021,0.9501011,0.8385919
