# s_m,x_m,y_m,psi_rad,kappa_radpm,vx_mps,ax_mps2,d_left_m,d_right_m
94.595702,-43.137818,37.684281,-3.017085,0.059581,7.023889,-3.425667,0.869400,1.420020
94.964972,-43.504229,37.638423,-2.994511,0.071551,6.851085,-3.187974,0.898380,1.420020
95.337007,-43.872248,37.583900,-2.967060,0.087506,6.686261,-2.847150,0.898380,1.420020
95.712496,-44.242032,37.518698,-2.933299,0.106153,6.535546,-2.371371,0.898380,1.391040
96.090593,-44.611956,37.440511,-2.892760,0.128399,6.407311,-1.729683,0.956340,1.304100
96.470177,-44.979850,37.347030,-2.843572,0.151661,6.312132,-1.236140,1.014300,1.246140
96.853110,-45.345902,37.234590,-2.786775,0.170978,6.243223,-0.811838,1.072260,1.217160
97.238874,-45.707637,37.100567,-2.723723,0.190156,6.197550,-0.627655,1.130220,1.130220
97.623930,-46.059561,36.944306,-2.653562,0.209694,6.162007,-0.476131,1.188180,1.072260
98.008751,-46.399457,36.763868,-2.577061,0.226548,6.134907,-0.322993,1.246140,1.072260
98.392476,-46.723643,36.558567,-2.494915,0.242093,6.116454,-0.213586,1.275120,1.014300
98.773495,-47.027731,36.328989,-2.407502,0.255772,6.104222,-0.162938,1.333080,0.956340
99.151997,-47.308746,36.075426,-2.315873,0.265900,6.094874,-0.118082,1.333080,0.927360
99.528166,-47.563799,35.798928,-2.221335,0.272066,6.088090,-0.111607,1.362060,0.898380
99.902015,-47.790208,35.501435,-2.125458,0.272744,6.081671,-0.111607,1.362060,0.927360
100.275227,-47.986762,35.184176,-2.030362,0.267820,6.075246,0.020855,1.333080,0.956340
100.647566,-48.151916,34.850469,-1.937848,0.257710,6.076447,0.148722,1.333080,0.985320
