# s_m,x_m,y_m,psi_rad,kappa_radpm,vx_mps,ax_mps2,d_left_m,d_right_m
111.529402,51.544521,46.878628,0.073680,-0.011510,7.591207,8.786307,0.312500,0.843750
111.549400,51.564465,46.880098,0.073463,-0.010209,7.614318,8.793369,0.312500,0.843750
111.569398,51.584409,46.881564,0.073272,-0.008907,7.637378,8.799587,0.312500,0.843750
111.589397,51.604354,46.883026,0.073107,-0.007606,7.660385,8.804926,0.312500,0.843750
111.609395,51.624299,46.884486,0.072968,-0.006259,7.683336,8.809531,0.312500,0.843750
111.629393,51.644244,46.885942,0.072857,-0.004892,7.706232,8.813179,0.312500,0.843750
111.649391,51.664189,46.887397,0.072773,-0.003525,7.729068,8.815734,0.312500,0.843750
111.669389,51.684134,46.888851,0.072716,-0.002158,7.751845,8.817157,0.312500,0.843750
111.689387,51.704079,46.890303,0.072687,-0.000750,7.774558,8.817425,0.312500,0.843750
111.709385,51.724025,46.891756,0.072686,0.000676,7.797205,8.816394,0.312500,0.843750
111.729383,51.743970,46.893208,0.072714,0.002102,7.819785,8.813992,0.312500,0.843750
111.749381,51.763915,46.894661,0.072770,0.003528,7.842293,8.810168,0.312500,0.843750
111.769379,51.783860,46.896116,0.072854,0.004787,7.864727,8.805437,0.312500,0.843750
111.789378,51.803805,46.897573,0.072961,0.005971,7.887085,8.799827,0.312500,0.843750
111.809376,51.823750,46.899032,0.073092,0.007156,7.909366,8.793121,0.312500,0.843750
111.829374,51.843694,46.900494,0.073247,0.008340,7.931568,8.785281,0.312500,0.843750
111.849372,51.863639,46.901959,0.073420,0.008745,7.953688,8.781434,0.312500,0.843750
111.869370,51.883583,46.903428,0.073596,0.008800,7.975736,8.779717,0.312500,0.843750
111.889368,51.903527,46.904900,0.073773,0.008854,7.997720,8.777988,0.312500,0.875000
111.909366,51.923470,46.906376,0.073950,0.008908,8.019639,8.776247,0.312500,0.875000
111.929364,51.943414,46.907855,0.074128,0.008787,8.041494,8.775677,0.281250,0.875000
111.949362,51.963357,46.909338,0.074301,0.008586,8.063289,8.775632,0.281250,0.875000
111.969360,51.983300,46.910824,0.074471,0.008386,8.085024,8.775583,0.281250,0.875000
111.989358,52.003242,46.912314,0.074637,0.008186,8.106701,8.775530,0.281250,0.875000
112.009357,52.023184,46.913806,0.074799,0.008008,8.128320,8.775329,0.281250,0.875000
112.029355,52.043127,46.915302,0.074957,0.007840,8.149882,8.775062,0.281250,0.875000
112.049353,52.063068,46.916801,0.075112,0.007672,8.171385,8.774794,0.281250,0.875000
112.069351,52.083010,46.918304,0.075264,0.007504,8.192832,8.774523,0.281250,0.875000
112.089349,52.102951,46.919809,0.075412,0.007354,8.214222,8.774139,0.343750,0.875000
112.109347,52.122893,46.921317,0.075558,0.007213,8.235556,8.773706,0.343750,0.875000
112.129345,52.142834,46.922828,0.075701,0.007071,8.256833,8.773273,0.343750,0.875000
112.149343,52.162774,46.924342,0.075841,0.006930,8.278055,8.772839,0.343750,0.875000
112.169341,52.182715,46.925858,0.075978,0.006803,8.299221,8.772319,0.343750,0.875000
112.189340,52.202655,46.927378,0.076113,0.006682,8.320332,8.771763,0.343750,0.875000
112.209338,52.222595,46.928900,0.076245,0.006562,8.341389,8.771207,0.343750,0.875000
112.229336,52.242534,46.930424,0.076375,0.006441,8.362391,8.770652,0.343750,0.875000
112.249334,52.262475,46.931951,0.076503,0.006332,8.383339,8.770031,0.343750,0.875000
112.269332,52.282414,46.933481,0.076629,0.006228,8.404234,8.769383,0.343750,0.875000
112.289330,52.302354,46.935013,0.076752,0.006124,8.425075,8.768736,0.343750,0.906250
112.309328,52.322292,46.936548,0.076874,0.006020,8.445863,8.768090,0.343750,0.906250
112.329326,52.342231,46.938085,0.076993,0.005925,8.466599,8.767395,0.343750,0.906250
112.349324,52.362170,46.939624,0.077111,0.005834,8.487282,8.766679,0.312500,0.906250
112.369322,52.382109,46.941166,0.077226,0.005743,8.507913,8.765965,0.312500,0.906250
112.389320,52.402047,46.942710,0.077340,0.005652,8.528493,8.765252,0.312500,0.906250
112.409319,52.421985,46.944256,0.077452,0.005568,8.549022,8.764502,0.312500,0.906250
112.429317,52.441924,46.945805,0.077563,0.005486,8.569499,8.763738,0.312500,0.843750
112.449315,52.461862,46.947355,0.077672,0.005405,8.589926,8.762976,0.312500,0.843750
112.469313,52.481799,46.948908,0.077779,0.005324,8.610303,8.762214,0.312500,0.843750
112.489311,52.501737,46.950463,0.077885,0.005248,8.630630,8.761427,0.312500,0.843750
112.509309,52.521674,46.952020,0.077989,0.005174,8.650907,8.760630,0.312500,0.843750
112.529307,52.541612,46.953579,0.078092,0.005100,8.671135,8.759834,0.312500,0.843750
112.549305,52.561548,46.955140,0.078193,0.005026,8.691315,8.759039,0.312500,0.843750
112.569303,52.581485,46.956703,0.078293,0.004955,8.711445,8.758226,0.312500,0.843750
112.589302,52.601422,46.958269,0.078391,0.004887,8.731528,8.757408,0.312500,0.843750
112.609300,52.621359,46.959836,0.078488,0.004818,8.751562,8.756590,0.312500,0.843750
112.629298,52.641295,46.961405,0.078584,0.004749,8.771549,8.755773,0.312500,0.843750
112.649296,52.661231,46.962975,0.078678,0.004682,8.791488,7.909806,0.312500,0.843750
112.669294,52.681168,46.964548,0.078771,0.004616,8.809462,7.491999,0.312500,0.843750
112.689292,52.701104,46.966123,0.078863,0.004551,8.826453,7.278745,0.312500,0.843750
112.709290,52.721039,46.967699,0.078953,0.004485,8.842929,7.064350,0.312500,0.875000
112.729288,52.740975,46.969277,0.079042,0.004421,8.858891,6.848851,0.312500,0.875000
112.749286,52.760911,46.970857,0.079130,0.004357,8.874338,6.632269,0.281250,0.875000
112.769284,52.780847,46.972439,0.079216,0.004294,8.889271,6.414632,0.281250,0.875000
112.789282,52.800781,46.974022,0.079302,0.004230,8.903690,6.195978,0.281250,0.875000
112.809281,52.820717,46.975607,0.079386,0.004168,8.917596,5.976342,0.281250,0.875000
112.829279,52.840652,46.977194,0.079468,0.004105,8.930988,5.755762,0.343750,0.875000
112.849277,52.860587,46.978782,0.079550,0.004043,8.943867,5.534276,0.343750,0.875000
112.869275,52.880521,46.980372,0.079630,0.003981,8.956233,5.311920,0.343750,0.875000
112.889273,52.900456,46.981964,0.079709,0.003919,8.968086,5.088729,0.343750,0.875000
112.909271,52.920391,46.983557,0.079787,0.003856,8.979426,4.864742,0.343750,0.875000
112.929269,52.940325,46.985152,0.079863,0.003794,8.990254,4.639995,0.343750,0.875000
112.949267,52.960259,46.986748,0.079939,0.003731,9.000569,4.414523,0.343750,0.875000
112.969265,52.980194,46.988345,0.080013,0.003668,9.010372,4.188363,0.343750,0.875000
112.989264,53.000128,46.989945,0.080085,0.003605,9.019664,3.961552,0.343750,0.875000
113.009262,53.020062,46.991545,0.080157,0.003542,9.028443,3.734125,0.343750,0.875000
113.029260,53.039995,46.993147,0.080227,0.003479,9.036710,3.506118,0.343750,0.875000
113.049258,53.059929,46.994750,0.080296,0.003415,9.044466,3.277568,0.343750,0.875000
113.069256,53.079863,46.996355,0.080364,0.003350,9.051710,3.048509,0.343750,0.875000
113.089254,53.099797,46.997961,0.080430,0.003286,9.058442,2.818979,0.343750,0.906250
113.109252,53.119729,46.999569,0.080495,0.003221,9.064664,2.589013,0.343750,0.906250
113.129250,53.139663,47.001177,0.080559,0.003156,9.070374,2.358646,0.312500,0.906250
113.149248,53.159597,47.002787,0.080621,0.003090,9.075572,2.127915,0.312500,0.906250
113.169246,53.179530,47.004398,0.080682,0.003024,9.080260,1.896855,0.312500,0.906250
113.189245,53.199462,47.006011,0.080742,0.002959,9.084437,1.665501,0.312500,0.906250
113.209243,53.219395,47.007624,0.080801,0.002892,9.088102,1.433890,0.312500,0.906250
