s_ref_m,x_ref_m,y_ref_m,kappa_ref,ey_m,epsi_rad,u_mps,r_radps,target_mps,delta_rad,qdelta_radps,qv_mps2,left_m,right_m
13.13768201,-5.65179407,5.92045969,-0.082305647,0.06134896,-0.317895039,6.01319725,-1.33040700,5.34553444,-0.080068245,-0.216387312,-7.99999517,1.0893455,0.9018747
13.31765026,-5.62749198,6.09877826,-0.081750009,-0.00094188,-0.346930646,5.80255590,-1.37870270,5.08973553,-0.086625966,-0.189921507,-7.83148966,1.1326516,0.9234869
13.49761851,-5.60057127,6.27672035,-0.081044945,-0.06919584,-0.379836976,5.57242731,-1.43564004,4.84666352,-0.094569892,-0.278332530,-6.58995894,1.1799625,0.9401723
13.67758675,-5.57105717,6.45425073,-0.080753424,-0.14436942,-0.417515670,5.32823400,-1.50143550,4.60533001,-0.103660936,-0.234323746,-6.97673658,1.2240182,0.9576336
13.85755500,-5.53897691,6.63133541,-0.085549654,-0.22760074,-0.460597080,5.07202515,-1.57727922,4.36277973,-0.114824778,-0.354545793,-5.92990724,1.2444010,0.9966030
14.03752325,-5.50428185,6.80792701,-0.274231447,-0.31534009,-0.491072893,4.81095567,-1.66287123,4.09261328,-0.128034233,-0.326394765,-7.99998532,1.2395110,1.0522341
14.21749149,-5.46035861,6.98240328,-0.505872966,-0.39711905,-0.484193375,4.57178690,-1.74986281,3.99091673,-0.141282649,-0.389623922,2.99999342,1.2435607,1.0819891
14.39745974,-5.40049210,7.15206006,-0.570286245,-0.46673196,-0.448717987,4.40143436,-1.81758925,4.09418321,-0.146181087,0.121653868,2.99999797,1.2763305,1.0989011
14.57742799,-5.32358192,7.31468795,-0.617933881,-0.52428048,-0.400501710,4.31069870,-1.85584761,4.19010974,-0.147499951,-0.218246017,2.99999874,1.3114855,1.1070648
14.75739623,-5.22914696,7.46779361,-0.646870480,-0.57022611,-0.341576315,4.26996793,-1.87355031,4.27843112,-0.146987822,0.273212637,2.99999904,1.3049549,1.1090249
14.93736448,-5.11762080,7.60893014,-0.651745288,-0.60584607,-0.276117645,4.26003678,-1.87791803,4.36063562,-0.145052554,-0.144621553,2.99999922,1.3236654,1.1064437
15.11733273,-4.99040906,7.73611387,-0.628967631,-0.63282823,-0.210124518,4.27001232,-1.87353083,4.43940518,-0.142681552,0.330922889,2.99999935,1.3819503,1.0993486
