s_m,v_ref_mps,kappa_radpm,ax_ref_mps2,ay_ref_mps2,delta_ff_rad,d_left_m,d_right_m,core_bin_id
32.398583,6.855204,-0.015595,-9.09145,-0.7328686522438014,-0.00505273700051436,0.9625,1.1875,s6_k0
32.418582,6.82863,-0.015819,-9.089733,-0.7376429388608812,-0.005125311120913442,0.9625,1.175,s6_k0
32.438581,6.801957,-0.016043,-9.087322,-0.7422553690958675,-0.005197885187322034,0.975,1.175,s6_k0
32.45858,6.775185,-0.016381,-9.084068,-0.7519392017573896,-0.00530739416577981,0.975,1.175,s6_k0
32.478579,6.748317,-0.016855,-9.080817,-0.7675730312141021,-0.005460965713445867,0.9625,1.1625,s6_k0
32.498578,6.721352,-0.017329,-9.077573,-0.7828648284552686,-0.005614537003524563,0.9625,1.1625,s6_k0
32.518577,6.694287,-0.017803,-9.073547,-0.7978143566382834,-0.005768108028772867,0.9625,1.15,s6_k0
32.538576,6.667125,-0.018398,-9.06826,-0.8178013249759689,-0.005960881398104578,0.975,1.15,s6_k0
32.558576,6.639868,-0.019178,-9.062922,-0.8455167308672775,-0.006213592032474382,0.975,1.175,s6_k0
32.578575,6.612514,-0.019958,-9.057541,-0.8726703636651117,-0.0064663018732033905,0.95,1.1625,s6_k0
32.598574,6.585063,-0.020738,-9.049875,-0.8992630286582891,-0.006719010888018255,0.9625,1.1625,s6_k0
32.618573,6.557521,-0.021826,-9.037145,-0.9385416084299155,-0.007071506124595008,0.9625,1.1625,s6_k0
32.638572,6.529901,-0.023552,-9.023843,-1.0042480257079531,-0.007630699890818838,0.975,1.15,s6_k0
32.658571,6.502205,-0.02528,-9.010004,-1.068804774111992,-0.008190536841320544,0.95,1.15,s6_k1
32.67857,6.474433,-0.02701,-8.985131,-1.132212814956918,-0.008751016608022267,0.95,1.1375,s6_k1
32.698569,6.446619,-0.029876,-8.92391,-1.241613592764966,-0.009679521687076325,0.9625,1.1375,s6_k1
32.718569,6.418875,-0.03596,-8.852961,-1.481622347311875,-0.011650512846062654,0.9625,1.1375,s6_k1
32.738568,6.391233,-0.04204,-8.772621,-1.7172440033025496,-0.013620117725685808,0.975,1.125,s6_k1
32.758567,6.363722,-0.048116,-8.683077,-1.9485516163700531,-0.015588321245276785,0.95,1.125,s6_k1
32.778566,6.336376,-0.054193,-8.583953,-2.1758305684592854,-0.017556727889934648,0.95,1.125,s6_k2
32.798565,6.309224,-0.060302,-8.475628,-2.4003999537901772,-0.019535362524586507,0.9625,1.1125,s6_k2
32.818564,6.282301,-0.066423,-8.358076,-2.6215368567801622,-0.021517730390519237,0.9625,1.1125,s6_k2
32.838563,6.255637,-0.07256,-8.219684,-2.8394900646497985,-0.02350511026205306,0.95,1.1,s6_k2
32.858562,6.229303,-0.079197,-7.984113,-3.0731774839244754,-0.025654198517878587,0.95,1.1,s6_k3
32.878562,6.203618,-0.08907,-7.718619,-3.42784793114353,-0.028850672606091577,0.9625,1.1,s6_k3
32.898561,6.178684,-0.098947,-7.42076,-3.777414126007235,-0.032047851750481166,0.9625,1.0875,s6_k3
32.91856,6.154618,-0.108827,-7.109506,-4.122293054294131,-0.03524534641675092,0.9625,1.0875,s6_k4
