motion_regime,force_curve_region,wheel_speed_bin_mps,median_wheel_speed_mps,median_body_vx_mps,median_slip_speed_mps,median_slip_ratio,slip_ratio_mad,slip_ratio_p10,slip_ratio_p90,samples
traction,asymptotic,4.0,5.20207716598672,2.3544,2.735202773079704,1.2008699428558698,0.748840577394436,0.2835425253196135,4.052650061232902,143
traction,asymptotic,6.0,7.249961454160697,3.6347,3.6178866843971376,1.0125476712057684,0.6706936773859203,0.25546462408210546,4.064303395225661,141
traction,asymptotic,8.0,9.116043431346785,4.4267,4.873849542774604,1.0806736431595414,0.7168882262250622,0.3144693436017853,5.904811398701356,136
traction,asymptotic,10.0,10.953834549568668,4.925549999999999,6.026484886547269,1.2233051764737777,0.818138161585952,0.3548148363671712,5.543457021186653,268
traction,asymptotic,12.0,13.260358489145187,5.63475,7.8156194608422425,1.36115297972515,0.927903204134032,0.38687775716065625,6.063964375270811,238
traction,asymptotic,14.0,14.856306259988951,6.74775,7.863557706629839,1.1431177856094872,0.7529597667554189,0.34165068273794946,5.608547383093507,256
traction,asymptotic,16.0,16.98300513835847,7.3007,9.837262401079848,1.3154938068864224,0.8514896573076858,0.3754746561723995,6.887056148213849,178
traction,asymptotic,18.0,19.220636561122063,7.9368,11.143106623665966,1.3928271880065142,0.8217001541391628,0.509225919773884,6.388862339730045,151
traction,asymptotic,20.0,20.875364342313258,9.764949999999999,11.261635621744462,1.1456267587710995,0.7600578557884102,0.35384080659453454,8.11880565245905,202
traction,asymptotic,22.0,22.960251078846007,9.9954,12.67417223465419,1.3044391237918085,0.8852339393816286,0.34467743857049904,7.321296528479271,179
traction,asymptotic,24.0,25.087972258495896,8.343050000000002,16.722982211409587,1.9754649857675641,0.97555606630844,0.49753758186780167,5.3072874909239,124
traction,asymptotic,26.0,27.0588423464434,8.9204,17.945499444423042,2.0087870873031894,0.9840587669846226,0.7023035392027474,5.069515193301576,131
traction,asymptotic,28.0,28.890240951419973,9.3423,19.467530249521502,2.0943990086140265,1.0275375222852547,0.8163418322210396,6.924990106465681,101
traction,asymptotic,30.0,31.002999083612952,9.9016,21.314923201803424,2.1526746386244064,1.0526751966881949,0.9090939033148902,6.066443652674125,115
traction,asymptotic,32.0,32.93000106918996,10.7572,22.437925343437303,2.103451924379789,1.158884484982191,0.7736079639340572,6.954985551970557,110
traction,asymptotic,34.0,34.9645206705764,9.6867,24.969297288352145,2.602363695749432,1.2163177217016101,1.0871183922572671,8.728379718393283,102
traction,asymptotic,36.0,36.91316365057888,8.8078,28.232558381348362,3.1583634491988053,1.477671091326116,1.4133617386204325,13.59071954633897,89
traction,asymptotic,38.0,39.175831326839486,10.6264,28.542256084037547,2.754741382805999,1.1683518336103933,1.2767982298402452,10.07959727858212,101
traction,asymptotic,40.0,41.01433022840724,10.3787,30.597823133945973,2.88787438955582,1.3980846189577831,1.3320757709868096,12.874728534588607,91
traction,asymptotic,42.0,42.764601501638495,11.5908,31.015255874523113,2.6758511814993886,0.9911896406869967,1.6693126582366589,15.838816122991213,85
