stamp_s,time_s,gt_x_m,gt_y_m,gt_yaw_rad,amcl_x_m,amcl_y_m,amcl_yaw_rad,amcl_error_m,amcl_error_rad,ekf_x_m,ekf_y_m,ekf_yaw_rad,ekf_error_m,ekf_error_rad,odom_x_m,odom_y_m,odom_yaw_rad,odom_error_m,odom_error_rad,gt_speed_mps
1788158633.699003,8.184264,11.012704,-2.432365,-2.210049,10.824027,-2.642613,-2.191624,0.282495,0.018425,10.800813,-2.623090,-2.171852,0.285086,0.038197,10.822617,-2.498507,-2.210049,0.201266,0.000000,0.394303
1788158633.801231,8.286492,10.974725,-2.481318,-2.243264,10.787298,-2.693279,-2.228224,0.282942,0.015040,10.765341,-2.676055,-2.207390,0.285944,0.035874,10.783945,-2.548764,-2.243264,0.202350,0.000000,0.613678
1788158633.898660,8.383921,10.917096,-2.550716,-2.286638,10.711605,-2.788968,-2.276198,0.314628,0.010440,10.691140,-2.774201,-2.253332,0.317808,0.033306,10.705318,-2.643228,-2.286638,0.231103,0.000000,0.914438
1788158633.997522,8.482783,10.822251,-2.653040,-2.349264,10.611381,-2.900859,-2.342088,0.325393,0.007176,10.590596,-2.891616,-2.318578,0.332540,0.030686,10.600018,-2.756908,-2.349264,0.245308,0.000000,1.409525
1788158634.099628,8.584889,10.700348,-2.768307,-2.418463,10.486850,-3.020503,-2.414811,0.330430,0.003652,10.466487,-3.016841,-2.390523,0.341263,0.027940,10.471370,-2.878626,-2.418463,0.254168,0.000000,1.645980
1788158634.199731,8.684992,10.559442,-2.883692,-2.492467,10.342092,-3.136964,-2.491285,0.333748,0.001182,10.324378,-3.139235,-2.467347,0.347214,0.025120,10.325469,-2.998097,-2.492467,0.260445,0.000000,1.816747
1788158634.315426,8.800687,10.392740,-2.999581,-2.576502,10.183690,-3.243935,-2.576547,0.321576,0.000045,10.166481,-3.254900,-2.551381,0.341147,0.025120,10.164717,-3.109759,-2.576502,0.253247,0.000000,1.754191
1788158634.415121,8.900382,10.273288,-3.068964,-2.657558,10.108984,-3.284187,-2.658167,0.270771,0.000609,10.094337,-3.295362,-2.637897,0.288582,0.019661,10.090997,-3.152416,-2.657558,0.200485,0.000000,1.385695
1788158634.516515,9.001776,10.203878,-3.102569,-2.715394,10.084072,-3.293170,-2.716125,0.225127,0.000731,10.073240,-3.306205,-2.695733,0.241939,0.019661,10.069691,-3.162843,-2.715394,0.147103,0.000000,0.760933
1788158634.617613,9.102874,10.159969,-3.121173,-2.753013,10.038375,-3.310156,-2.753201,0.224721,0.000188,10.029899,-3.322498,-2.737885,0.239687,0.015128,10.025687,-3.181832,-2.753013,0.147347,0.000000,0.473231
1788158634.748918,9.234179,10.137893,-3.129678,-2.768988,10.038375,-3.310156,-2.753201,0.206097,0.015787,10.014864,-3.328150,-2.753748,0.233511,0.015240,10.008397,-3.188750,-2.768988,0.142333,0.000000,0.181710
1788158634.808284,9.293545,10.137299,-3.129894,-2.769436,10.011770,-3.317622,-2.768937,0.225830,0.000499,10.007274,-3.329822,-2.755990,0.238490,0.013446,10.000728,-3.191745,-2.769436,0.149924,0.000000,0.010425
1788158634.898478,9.383739,10.098581,-3.144455,-2.792793,9.957183,-3.335811,-2.792425,0.237929,0.000368,9.954299,-3.349081,-2.780972,0.250377,0.011821,9.947536,-3.211796,-2.792793,0.165376,0.000000,0.458666
1788158635.003964,9.489225,10.049920,-3.161189,-2.820566,9.893901,-3.355553,-2.820094,0.249237,0.000473,9.891559,-3.370122,-2.810216,0.262167,0.010351,9.884592,-3.233702,-2.820566,0.180531,0.000000,0.488634
1788158635.058616,9.543877,9.974934,-3.184742,-2.857833,9.747790,-3.399385,-2.858990,0.312515,0.001157,9.742838,-3.416327,-2.848984,0.327872,0.008848,9.735266,-3.280285,-2.857833,0.258010,0.000000,1.429228
1788158635.165557,9.650818,9.883471,-3.209345,-2.904050,9.624692,-3.430179,-2.907152,0.340197,0.003102,9.616609,-3.449078,-2.896829,0.358730,0.007221,9.608366,-3.314132,-2.904050,0.294386,0.000000,0.885619
1788158635.267617,9.752877,9.729243,-3.239762,-2.989865,9.468708,-3.458043,-2.994687,0.339890,0.004822,9.456744,-3.479341,-2.984374,0.362842,0.005490,9.447583,-3.345827,-2.989865,0.300969,0.000000,1.554521
1788158635.370234,9.855494,9.589562,-3.253376,-3.098084,9.336374,-3.466837,-3.102611,0.331165,0.004527,9.319199,-3.490861,-3.094170,0.359855,0.003914,9.308778,-3.359421,-3.098084,0.300142,0.000000,1.367943
1788158635.466878,9.952139,9.508771,-3.687540,-3.114320,9.220414,-3.464910,-3.124315,0.364299,0.009995,9.198255,-3.492255,-3.112515,0.366819,0.001805,9.186243,-3.363759,-3.114320,0.457011,0.000000,4.535661
1788158635.567883,10.053144,9.463966,-3.687962,3.126313,9.150829,-3.464632,3.116318,0.384618,0.009995,9.130202,-3.489757,3.126310,0.388179,0.000003,9.116658,-3.364176,3.126313,0.474826,0.000000,0.442975
1788158635.681669,10.166930,9.423704,-3.686259,3.095722,9.150829,-3.464632,3.116318,0.351539,0.020596,9.119403,-3.488048,3.097859,0.363163,0.002137,9.103040,-3.363760,3.095722,0.454787,0.000000,0.355223
