stamp_s,speed_pred_mps,speed_mps,body_u_mps,body_v_mps,x_m,y_m,wheel_update_used,turn_mode,reset_epoch,timing_degraded
1789484705.7018282,16.061743046092992,16.061743046092992,16.061743046092992,0,63.566473357885194,0.0078570050695152844,0,0,0,0
1789484705.7268281,16.085592909622196,16.085592909622196,16.085592909622196,0,63.968312754889737,0.0079068001181757733,0,0,0,0
1789484705.7518277,16.109627542877202,16.109627542877202,16.109627542877202,0,64.37074686670519,0.0079566688625793119,0,0,0,0
1789484705.7768278,16.133330133295065,16.133330133295065,16.133330133295065,0,64.773785372026921,0.0080066125020884053,0,0,0,0
1789484705.8018279,16.157500225496296,16.157500225496296,16.157500225496296,0,65.177422288159548,0.0080566302953406846,0,0,0,0
1789484705.8268282,16.181058040022855,16.181058040022855,16.181058040022855,0,65.581659660454065,0.0081067224957915174,0,0,0,0
1789484705.8518283,16.204473129343992,16.204473129343992,16.204473129343992,0,65.986480341225473,0.0081568869785377356,0,0,0,0
1789484705.8768282,16.228495491886143,16.228495491886143,16.228495491886143,0,66.391890126091496,0.0082071244617594567,0,0,0,0
1789484705.9018278,16.251435141849523,16.251435141849523,16.251435141849523,0,66.797883060840931,0.0082574342076240075,0,0,0,0
1789484705.9268281,16.275265460014349,16.275265460014349,16.275265460014349,0,67.204472243721327,0.0083078178392372339,0,0,0,0
1789484705.951828,16.298155329036717,16.298155329036717,16.298155329036717,0,67.611637670625711,0.008358272877734477,0,0,0,0
1789484705.9768283,16.321465640258793,16.321465640258793,16.321465640258793,0,68.019388373597849,0.0084088004423466065,0,0,0,0
1789484706.0018284,16.344818229341513,16.344818229341513,16.344818229341513,0,68.427718476482568,0.0084593998049134807,0,0,0,0
1789484706.0268278,16.367465167784697,16.367465167784697,16.367465167784697,0,68.836611876826282,0.0085100689700546919,0,0,0,0
1789484706.0518281,16.389357960081107,16.389357960081107,16.389357960081107,0,69.246077629665464,0.0085608090598503182,0,0,0,0
1789484706.0768282,16.411718045377736,16.411718045377736,16.411718045377736,0,69.656092640662877,0.0086116172125012044,0,0,0,0
1789484706.1018281,16.433512920665745,16.433512920665745,16.433512920665745,0,70.066655675312205,0.0086624932750300615,0,0,0,0
1789484706.1268284,16.455633215999608,16.455633215999608,16.455633215999608,0,70.47777548783246,0.0087134383322403329,0,0,0,0
1789484706.1518278,16.477375176882749,16.477375176882749,16.477375176882749,0,70.889427882189509,0.0087644493858130244,0,0,0,0
1789484706.1768279,16.499022759461408,16.499022759461408,16.499022759461408,0,71.301634425666151,0.0088155291083180827,0,0,0,0
1789484706.2018282,16.520855550956732,16.520855550956732,16.520855550956732,0,71.714388412164055,0.0088666766687506456,0,0,0,0
1789484706.2268281,16.541652931952481,16.541652931952481,16.541652931952481,0,72.127667400212459,0.0089178892862133256,0,0,0,0
1789484706.2518284,16.562683212733273,16.562683212733273,16.562683212733273,0,72.541477123726025,0.00896916767124014,0,0,0,0
1789484706.2768278,16.583335200643543,16.583335200643543,16.583335200643543,0,72.955792077297602,0.0090205086632574854,0,0,0,0
1789484706.3018279,16.604360280847551,16.604360280847551,16.604360280847551,0,73.37063985014376,0.0090719156810600138,0,0,0,0
1789484706.3268282,16.625148058390618,16.625148058390618,16.625148058390618,0,73.786014246967582,0.009123387956940246,0,0,0,0
