scan_index,scan_stamp_s,gt_x_m,gt_y_m,gt_yaw_rad,seed_x_m,seed_y_m,seed_yaw_rad,match_x_m,match_y_m,match_yaw_rad,seed_error_m,match_error_m,seed_yaw_error_rad,match_yaw_error_rad,match_score,score_margin,gt_score,seed_score,valid_beams
1420,1788993948.23279,-5.812142530603197,0.5954677339412897,1.873404695584812,-6.216856256402342,0.6545979263494854,1.873404695584812,-5.841856256402342,0.6795979263494855,1.8484046955848121,0.40901048825727687,0.0892232860609092,0.0,0.02499999999999991,0.9905672435503576,0.003114814910867514,0.9033252624239713,0.013521671839172106,120
1440,1788993949.382714,-5.998002971412914,4.903278076393939,1.3517192902157573,-6.396258173301588,4.959487086898832,1.3517192902157573,-5.971258173301587,5.0344870868988325,1.3267192902157574,0.4022022609251809,0.13390701499058513,0.0,0.02499999999999991,0.9918939203360149,0.00180135103644119,0.8179472607420801,0.05838950939467429,120
1460,1788993950.5567088,-3.813153599432833,7.589256579985926,0.20789938199282407,-4.233309152593311,7.581819027937975,0.20789938199282407,-3.7583091525933106,7.606819027937975,0.18289938199282404,0.4202213774096375,0.05758778453111081,0.0,0.025000000000000022,0.9718668965368277,0.002637719720794296,0.927483258252389,0.38249820875681756,120
1480,1788993951.728555,-0.4274639748232031,5.604368297031266,-1.0306527375491752,-0.833241409163408,5.583488941416894,-1.0306527375491752,-0.358241409163408,5.483488941416894,-1.055652737549175,0.4063142548700338,0.13929674156372243,0.0,0.02499999999999991,0.9566459997386578,0.007639651830462668,0.9191901061933424,0.24691058482097503,120
1500,1788993952.882471,1.109800473413786,1.3685828024403714,-1.3774774233612186,0.7016936228120865,1.3437596634072984,-1.3774774233612186,1.1266936228120863,1.3437596634072984,-1.4024774233612185,0.4088610885612536,0.030026100779964225,0.0,0.02499999999999991,0.9589241546626198,0.0031125049489275636,0.8996978480608717,0.16467129439262138,120
1520,1788993953.9765425,1.299663605765413,-2.8908277625291086,-1.7105703390428157,0.8878236167280227,-2.92081980890052,-1.7105703390428157,1.2878236167280228,-3.0208198089005203,-1.7105703390428157,0.4129306230056844,0.13053014004525074,0.0,0.0,0.9914435825769045,0.0013510132773307815,0.9624752240202837,0.14718408593955648,120
1540,1788993954.977014,0.610448227372719,-6.763789440907429,-1.7925274262050337,0.19778402565155884,-6.79387677009799,-1.7925274262050337,0.5727840256515588,-6.943876770097989,-1.7925274262050337,0.41375958086790393,0.1839837988146824,0.0,0.0,0.9986489867226691,0.0,0.8989515438305794,0.026831668982246062,120
1560,1788993955.9765608,-0.48971581633391986,-9.713628264798498,-2.3043025305562126,-0.8687062434965181,-9.677222999692981,-2.3043025305562126,-0.5687062434965181,-9.802222999692981,-2.3543025305562124,0.3807349303758346,0.11869504890412894,0.0,0.04999999999999982,0.9990993244817794,0.01215911949597781,0.8571301813425897,0.1732902233578094,120
1580,1788993956.9766297,-2.5427023943463154,-9.472214096819583,2.156775995318926,-2.97556314099794,-9.436004787002165,2.156775995318926,-2.62556314099794,-9.361004787002166,2.1067759953189262,0.4343725821334213,0.1386845843117789,0.0,0.04999999999999982,0.995496622408897,0.007582732429853745,0.8969933209826361,0.08335885088863887,120
1600,1788993957.9797692,-3.0910056157516412,-5.933683599932981,1.4264349901224822,-3.5133596642691214,-5.905512463419294,1.4264349901224822,-3.0883596642691216,-5.805512463419293,1.4014349901224823,0.42329251733473716,0.12819844497675534,0.0,0.02499999999999991,0.9972979734453382,0.0013510132773307815,0.7563938951970951,0.37768173478217276,120
1620,1788993958.9765105,-2.0816955264122496,-2.155839722327964,1.3165178248868514,-2.503975159553923,-2.1278456075676453,1.3165178248868514,-2.028975159553923,-1.9778456075676454,1.3165178248868514,0.4232065205398898,0.18563766312627944,0.0,0.0,0.9946446198740237,4.867298334731984e-05,0.9325355798621218,0.30696946860986324,120
1640,1788993959.9806592,-1.2941839908569535,1.6480164896452674,1.4900601731211727,-1.7195648196810849,1.6709153201864722,1.4900601731211727,-1.294564819681085,1.7709153201864722,1.5150601731211726,0.42599672061092186,0.12289942058036352,0.0,0.02499999999999991,0.9927945958542355,0.008106079663985133,0.9670996329233871,0.13902069125741306,120
1660,1788993961.002175,-1.8984663403531967,3.763650097358876,2.6058259100490297,-2.3099190204091515,3.6392101698251946,2.6058259100490297,-1.9599190204091517,3.789210169825195,2.70582591004903,0.42985881809009774,0.06655636100736767,0.0,0.10000000000000009,0.9633549869207729,0.0001119706569346901,0.4146595724851244,0.3160215296512999,120
1680,1788993962.0015514,-3.153914257977992,2.902019912110259,-1.7646990902490158,-3.6544103470675733,2.774654498983375,-1.7646990902490156,-3.1544103470675733,2.674654498983375,-1.7396990902490157,0.5164477550100762,0.2273659543351719,2.220446049250313e-16,0.025000000000000133,0.9677189252279687,0.006949873388485073,0.801349791725325,0.05078925357779271,120
1700,1788993963.00192,-3.6710672805854334,0.1503486669924876,-2.102102978355127,-4.133508415569581,0.14727086994820274,-2.102102978355127,-3.7085084155695816,0.09727086994820273,-2.127102978355127,0.4624513770766314,0.06495453123513015,0.0,0.02499999999999991,0.9818908201396616,0.0043590351118285575,0.7268061949180865,0.002281551528091032,120
1720,1788993964.0021312,-5.24329246970991,-0.30256390148237733,2.505623043330056,-5.752625942281789,-0.31762308237785136,2.505623043330056,-5.327625942281788,-0.24262308237785135,2.4306230433300557,0.5095560471737833,0.10346514577843662,0.0,0.07500000000000018,0.9762183211534068,0.0049704413466371555,0.6031061869249673,0.0354983582074232,120
1740,1788993965.002511,-6.162329874315049,2.6212872111662557,1.6249455778574309,-6.665223394971315,2.5924282256014703,1.6249455778574309,-6.190223394971316,2.7674282256014706,1.599945577857431,0.5037208891498174,0.14877918064956278,0.0,0.02499999999999991,0.9756817610080445,0.001411600280012304,0.9370491567666692,0.03009412957274696,120
1760,1788993966.004273,-5.5046289601641325,6.234150641677441,1.070909289948026,-6.013890770341959,6.1716054743150295,1.070909289948026,-5.463890770341959,6.321605474315029,1.045909289948026,0.5130881885855381,0.09647770655263323,0.0,0.02499999999999991,0.995496622408897,0.008106079663985133,0.847461899922015,0.045685581139304356,120
1780,1788993967.001847,-2.983952015815807,7.617710467717061,-0.12632313918348625,-3.5330985316251033,7.462419291454967,-0.12632313918348625,-2.833098531625103,7.587419291454967,-0.17632313918348624,0.5706813868090974,0.15386464523020263,0.0,0.04999999999999999,0.9896422315404633,0.0017526780530938701,0.9274197126849856,0.21311184439686423,120
