run,source_time_s,segment_id,dt_s,u_mps,v_mps,r_radps,wheel_mps,steering_rad,throttle_norm,steering_target_rad,steering_rate_radps,model_steering_rate_radps,wheel_rate_mps2,model_wheel_rate_mps2,front_slip_angle_rad,rear_slip_angle_rad,measured_du_mps2,model_du_mps2,residual_du_mps2,measured_dv_mps2,model_dv_mps2,residual_dv_mps2,measured_dr_radps2,model_dr_radps2,residual_dr_radps2
01_longitudinal_throttle_from_rest_40hz_20260913,7.71600056,1,0.024999439999999318,0.0007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.004000089602007196,-5.46494722850962,5.4609471389076125,0.0,0.0,0.0,0.0,0.0,0.0
01_longitudinal_throttle_from_rest_40hz_20260913,7.741,1,0.02500027000000049,0.0006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-5.4649199285096195,5.4649199285096195,0.0,0.0,0.0,0.0,0.0,0.0
01_longitudinal_throttle_from_rest_40hz_20260913,7.76600027,1,0.025000099999999748,0.0006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.003999984000064038,-5.4649199285096195,5.4609199445095555,0.0,0.0,0.0,0.0,0.0,0.0
01_longitudinal_throttle_from_rest_40hz_20260913,7.79100037,1,0.02500008999999981,0.0005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.00399998560005187,-5.464892628509619,5.460892642909568,0.0,0.0,0.0,0.0,0.0,0.0
01_longitudinal_throttle_from_rest_40hz_20260913,7.81600046,1,0.025000100000000636,0.0004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-5.464865328509619,5.464865328509619,0.0,0.0,0.0,0.0,0.0,0.0
01_longitudinal_throttle_from_rest_40hz_20260913,7.84100056,1,0.024999439999999318,0.0004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.004000089602007196,-5.464865328509619,5.460865238907612,0.0,0.0,0.0,0.0,0.0,0.0
01_longitudinal_throttle_from_rest_40hz_20260913,7.866,1,0.02500027000000049,0.0003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-5.464838028509619,5.464838028509619,0.0,0.0,0.0,0.0,0.0,0.0
01_longitudinal_throttle_from_rest_40hz_20260913,7.89100027,1,0.02600001999999968,0.0003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-5.464838028509619,5.464838028509619,0.0,0.0,0.0,0.0,0.0,0.0
01_longitudinal_throttle_from_rest_40hz_20260913,7.91700029,1,0.024000169999999876,0.0003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.004166637152986853,-5.464838028509619,5.460671391356632,0.0,0.0,0.0,0.0,0.0,0.0
01_longitudinal_throttle_from_rest_40hz_20260913,7.94100046,1,0.025000100000000636,0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-5.46481072850962,5.46481072850962,0.0,0.0,0.0,0.0,0.0,0.0
01_longitudinal_throttle_from_rest_40hz_20260913,7.96600056,1,0.02600001999999968,0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-5.46481072850962,5.46481072850962,0.0,0.0,0.0,0.0,0.0,0.0
01_longitudinal_throttle_from_rest_40hz_20260913,7.99200058,1,0.024000419999999245,0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-5.46481072850962,5.46481072850962,0.0,0.0,0.0,0.0,0.0,0.0
01_longitudinal_throttle_from_rest_40hz_20260913,8.016001,1,0.024999000000001104,0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.004000160006400079,-5.46481072850962,5.46081056850322,0.0,0.0,0.0,0.0,0.0,0.0
